Publisher,Publisher2,Publisher3
Beam Software,other,other
Beat Games,other,other
Beatshapers,other,other
Bec,other,other
"Beeline Interactive, Inc.",other,other
BeF,other,other
Behaviour Interactive,other,other
BeiZ Ltd.,other,other
BeLight Software,other,other
Bellda Soft,other,other
Benjamin Rivers Inc.,other,other
Berzerk Studio,other,other
Beyond Software,other,other
bhv Software,other,other
BiCore,other,other
Bifrost Entertainment,other,other
Big Ant Studios,other,other
Big Blue Bubble,other,other
Big Five Software,other,other
Big Fun Games,other,other
Big Head Games,other,other
Big John Games,other,other
BigBrik Games,other,other
Bignet,other,other
Billy Goat Entertainment,other,other
Bimboosoft,other,other
Binary Takeover LLC,other,other
Binary Tweed,other,other
Binbou Soft,other,other
BioWare,other,other
BiP Media,other,other
Bishop Games,other,other
"Bit By Bit Studios, LLC",other,other
Bit Corporation,other,other
Bitmap Brothers,other,other
"BitMonster, Inc.",other,other
Bitten Toast Games,other,other
Bizarre Creations,other,other
Black Dragon,other,other
Black Isle Studios,other,other
Black Package,other,other
Black Psyche,other,other
Black Widow Games,other,other
Black Wing Foundation,other,other
Blackfire Games,other,other
BlackMoon Design,other,other
Blade Interactive,other,other
bleem!,other,other
Blendo Games,other,other
Blind Mind Studios,other,other
BlitWorks,other,other
Blitz Game Studios,other,other
Bloober Team,other,other
Bloober Team S.A.,other,other
Blue Print,other,other
Bluestone Interactive,other,other
BMG Interactive Entertainment,other,other
Boll AG,other,other
bom667,other,other
BombDog,other,other
Boolat Games,other,other
Bootdisk Revolution,other,other
